TEMPO,POTENCIA(K-4),POTENCIA(K-3),POTENCIA(K-2),POTENCIA(K-1),POTENCIA,ENERGIA(K-4),ENERGIA(K-3),ENERGIA(K-2),ENERGIA(K-1),ENERGIA,TAXA_ENERGIA,TAXA_ENERGIA(K-2),TAXA_ENERGIA(K-3),TAXA_ENERGIA(K-4)
2013-10-13,18.2000007629395,19.0,18.7999992370605,19.3999996185303,20.2000007629395,312.5750005245209,319.21250164508825,315.90000057220453,328.02499830722803,335.650000333786,5.050000190734863,4.699999809265137,4.75,4.550000190734863
2013-08-04,18.7999992370605,17.2000007629395,17.5,18.2000007629395,18.2999992370605,305.5124983787536,285.17500042915344,292.17499971389765,307.8249999284745,297.72499847412104,4.5749998092651225,4.375,4.300000190734863,4.699999809265137
2009-06-21,20.3999996185303,19.2999992370605,19.6000003814697,19.0,19.2999992370605,342.2875015735628,322.73750054836273,334.3750004768372,327.1749985218048,324.9250000715256,4.824999809265137,4.900000095367432,4.824999809265137,5.099999904632568
2008-05-18,16.3999996185303,16.1000003814697,15.6999998092651,16.7999992370605,15.1999998092651,269.15000021457666,267.4250001907349,265.6250002384186,278.27499938011164,245.45000016689292,3.799999952316284,3.924999952316284,4.025000095367432,4.099999904632568
2008-04-13,17.3999996185303,18.5,17.928947574214,17.0268415651823,16.3999996185303,283.40000045299524,320.6500008106232,315.8749935626984,290.0749981403356,267.9749995470048,4.099999904632568,4.482236893553505,4.625,4.349999904632568
2013-04-28,21.7000007629395,22.0,22.0,21.8999996185303,20.0,367.7500004768372,359.5375008583069,377.36874712705617,369.2875010967254,331.4874985218048,5.0,5.5,5.5,5.425000190734863
2012-08-26,18.2000007629395,18.5,18.6000003814697,19.5,19.2999992370605,318.29999876022333,317.04999923706055,316.02500152587896,327.47500002384186,326.0750018358232,4.824999809265137,4.650000095367432,4.625,4.550000190734863
2009-12-13,21.0,21.1000003814697,21.0,21.2999992370605,21.3999996185303,354.6500005722046,359.1499993801117,356.8749978542328,361.5999994277954,367.1499999761581,5.349999904632568,5.25,5.275000095367432,5.25
2009-05-24,16.5,16.2999992370605,16.7999992370605,20.3999996185303,20.3999996185303,268.96250081062306,275.9624999761581,274.9500002861023,340.825000524521,342.2875015735628,5.099999904632568,4.199999809265137,4.074999809265137,4.125
2012-09-09,18.6000003814697,19.5,19.2999992370605,19.2999992370605,18.3999996185303,316.02500152587896,327.47500002384186,326.0750018358232,331.0499994754792,320.4249997138977,4.599999904632568,4.824999809265137,4.875,4.650000095367432
2008-10-19,15.1000003814697,15.3000001907349,15.3999996185303,14.6999998092651,15.3000001907349,246.0666664242744,253.0250011682511,254.1249988079072,241.64999949932104,253.2250009775163,3.825000047683716,3.849999904632568,3.825000047683716,3.775000095367432
