iter	RMSE
0	1.410463658
1	1.398578037
2	1.386869304
3	1.375225681
4	1.363140583
5	1.351827413
6	1.339960811
7	1.328549269
8	1.317817744
9	1.30653779
10	1.295373488
11	1.284991114
12	1.273963277
13	1.26298268
14	1.252296015
15	1.241427454
16	1.231229282
17	1.220831618
18	1.210374686
19	1.200343285
20	1.190594263
21	1.180403772
22	1.170454995
23	1.160588943
24	1.150914193
25	1.141135557
26	1.131527149
27	1.122084556
28	1.112816379
29	1.103840724
30	1.094875869
31	1.085723767
32	1.076666909
33	1.06773338
34	1.058860482
35	1.050233201
36	1.041427065
37	1.032921309
38	1.024374874
39	1.015813533
40	1.00796615
41	0.9996974023
42	0.9913706736
43	0.9832329848
44	0.9754783205
45	0.9677745961
46	0.95984184
47	0.9519750844
48	0.9444085316
49	0.936620737
50	0.9290337967
51	0.9217753483
52	0.9144514293
53	0.9072551562
54	0.8998206273
55	0.8926097586
56	0.8858855835
57	0.8786902641
58	0.8716082318
59	0.8647654148
60	0.8577535273
61	0.8508608251
62	0.8440669549
63	0.8374381676
64	0.8309535493
65	0.8247054161
66	0.8181292989
67	0.8117716308
68	0.8054419653
69	0.7990794002
70	0.7928695291
71	0.786728477
72	0.7805599685
73	0.77441377
74	0.7684884598
75	0.7624896854
76	0.7564876476
77	0.7504563364
78	0.7447478998
79	0.7390569748
80	0.7333145104
81	0.7279561006
82	0.7223150843
83	0.7167258536
84	0.711206691
85	0.7055914162
86	0.7001719731
87	0.6951237535
88	0.6900383221
89	0.684604667
90	0.6795144829
91	0.67431639
92	0.6690892696
93	0.6641609691
94	0.6591319459
95	0.6543348197
96	0.6494122228
97	0.6444063637
98	0.6395771442
99	0.6347944795
100	0.6300266337
101	0.6253335305
102	0.6206816563
103	0.6161288563
104	0.611638735
105	0.6073274649
106	0.6029056796
107	0.5985943913
108	0.5942496683
109	0.5899543518
110	0.5857982096
111	0.581600865
112	0.5774354648
113	0.5733607077
114	0.5692616851
115	0.5652332426
116	0.5614300772
117	0.5576600261
118	0.5536817244
119	0.5497228682
120	0.545715894
121	0.5420733473
122	0.5382539923
123	0.5344831428
124	0.530813393
125	0.527425479
126	0.5238348875
127	0.5202716982
128	0.5166150787
129	0.5132413035
130	0.5097504792
131	0.5062824716
132	0.5029532767
133	0.4995599652
134	0.4962083346
135	0.4929078751
136	0.4896345191
137	0.4863837918
138	0.4832660092
139	0.4799263436
140	0.4767955588
141	0.4735668991
142	0.4703279738
143	0.4671118089
144	0.4640490038
145	0.4610815735
146	0.4580009419
147	0.4550044054
148	0.4521044687
149	0.4492293494
150	0.4463960431
151	0.4434542993
152	0.4407059112
153	0.4380155802
154	0.4352164844
155	0.4324589791
156	0.4298715867
157	0.4270757015
158	0.4245182022
159	0.4219336213
160	0.4193563902
161	0.4166680096
162	0.4141284509
163	0.4116189891
164	0.4091242728
165	0.4067265058
166	0.4043290555
167	0.4018013705
168	0.3994243799
169	0.3969691642
170	0.3946413663
171	0.3925647983
172	0.3903108148
173	0.3879581557
174	0.3856730455
175	0.3833791546
176	0.3811448233
177	0.3789501242
178	0.3768108116
179	0.3746437029
180	0.3725924622
181	0.3704764169
182	0.3684262458
183	0.3663511438
184	0.3642584047
185	0.3623732524
186	0.3603802685
187	0.3584610628
188	0.3565187036
189	0.3546067869
190	0.352726029
191	0.3509235849
192	0.3489523712
193	0.3470326221
194	0.3451297492
195	0.3432825247
196	0.3414812362
197	0.339704948
198	0.3379743535
199	0.3361387738
200	0.3343907098
201	0.3326499823
202	0.331012668
203	0.3293394809
204	0.3275880088
205	0.325984573
206	0.3243820548
207	0.3228288868
208	0.3213798032
209	0.319923874
210	0.3183719805
211	0.3166929692
212	0.3152305678
213	0.313730393
214	0.3122631284
215	0.3107421667
216	0.3091135474
217	0.3075380438
218	0.3059496323
219	0.304555808
220	0.3030158894
221	0.3014980334
222	0.300113769
223	0.2987514503
224	0.2974164994
225	0.2961176726
226	0.2948484195
227	0.2935831526
228	0.2923420079
229	0.2910787915
230	0.2896417295
231	0.2884393361
232	0.2873609568
233	0.2861688073
234	0.284782591
235	0.2837295731
236	0.2823821502
237	0.2811645799
238	0.2798653724
239	0.2787323951
240	0.2776218625
241	0.2765126505
242	0.275460463
243	0.274166398
244	0.2728935972
245	0.2716389091
246	0.2705749385
247	0.2695501441
248	0.2685567424
249	0.2673454031
250	0.2663951723
251	0.2653874387
252	0.2642051446
253	0.2631341419
254	0.2619622267
255	0.261002889
256	0.2600869405
257	0.2592099226
258	0.2582995259
259	0.2574069877
260	0.2564975803
261	0.2556570552
262	0.2548198984
263	0.2538705406
264	0.2530236426
265	0.2519279547
266	0.251005893
267	0.2499502057
268	0.2489066496
269	0.2478692682
270	0.2470072725
271	0.2461286805
272	0.2453533456
273	0.2443631598
274	0.2433932591
275	0.2426362369
276	0.2419037216
277	0.2409568715
278	0.2402862337
279	0.2393431776
280	0.2385936044
281	0.237670051
282	0.2369683261
283	0.2362535413
284	0.2355677541
285	0.2348923006
286	0.234004626
287	0.2332901486
288	0.2324158712
289	0.2315553212
290	0.2309000556
291	0.2303014086
292	0.2295865298
293	0.2289671454
294	0.2283481716
295	0.2277046748
296	0.2269285842
297	0.2263004686
298	0.225658378
299	0.2250088015
300	0.2244138593
301	0.2238527214
302	0.2233003812
303	0.2225088964
304	0.2219682184
305	0.2211867744
306	0.2206706049
307	0.2201491724
308	0.2196666932
309	0.2191212075
310	0.218635314
311	0.2179054769
312	0.2174247346
313	0.2167224324
314	0.2161725957
315	0.2156509954
316	0.2149651115
317	0.214286755
318	0.2137358508
319	0.2132074409
320	0.2125395478
321	0.2120858447
322	0.2115720903
323	0.2111208779
324	0.2104537095
325	0.2100239038
326	0.2095785111
327	0.2091373349
328	0.2087464751
329	0.2081010553
330	0.2076924132
331	0.2072729993
332	0.2066369109
333	0.2062496739
334	0.2056445794
335	0.2050354246
336	0.20463774
337	0.2042696079
338	0.2038207937
339	0.2032303856
340	0.2028741746
341	0.2025133634
342	0.2020844497
343	0.2017090334
344	0.2013084801
345	0.2008890078
346	0.2005670692
347	0.2002441359
348	0.1998989496
349	0.1995778625
350	0.1992876149
351	0.1989198478
352	0.1985446223
353	0.1981578981
354	0.1978171718
355	0.1972656099
356	0.1969004663
357	0.1963524622
358	0.1959848948
359	0.1956617966
360	0.1951341896
361	0.194832481
362	0.1943024657
363	0.1939519107
364	0.1934313429
365	0.1930868649
366	0.1927650116
367	0.1924936639
368	0.1921602724
369	0.1918944897
370	0.1915693404
371	0.1912559057
372	0.1909969181
373	0.1907120848
374	0.1902106729
375	0.1899540354
376	0.1896638839
377	0.1891770597
378	0.1889124582
379	0.1886748182
380	0.1884402825
381	0.1882093709
382	0.1877356457
383	0.1872921095
384	0.1868406636
385	0.186579845
386	0.1863276015
387	0.1858820375
388	0.1856315603
389	0.1852033224
390	0.1849474168
391	0.184524374
392	0.1841284697
393	0.1838917901
394	0.1836844358
395	0.1832804227
396	0.1828774948
397	0.1826062626
398	0.1822243049
399	0.1820271984
400	0.1817786223
401	0.1815677577
402	0.1811923015
403	0.1808335633
404	0.1805917771
405	0.1803577113
406	0.1801383657
407	0.17975809
408	0.1795370898
409	0.1793244557
410	0.1789619969
411	0.1787948442
412	0.1786070371
413	0.1784290866
414	0.178250822
415	0.1780413732
416	0.1778319368
417	0.1775840284
418	0.1772307998
419	0.1770291328
420	0.1768411289
421	0.176643455
422	0.1762993348
423	0.1760957922
424	0.1757574563
425	0.1754360474
426	0.1751312062
427	0.1749323811
428	0.1747921808
429	0.1744830605
430	0.1742964422
431	0.1739794519
432	0.1738031472
433	0.1736487561
434	0.1733409102
435	0.1731588933
436	0.1729808828
437	0.1726695221
438	0.172369155
439	0.1722052158
440	0.1720608364
441	0.1719183682
442	0.1716400956
443	0.1714729105
444	0.1713206306
445	0.1711531262
446	0.1709879972
447	0.1708396444
448	0.1705485232
449	0.1702755477
450	0.1701046149
451	0.1699522109
452	0.1696885813
453	0.1695600669
454	0.1694083307
455	0.1692559178
456	0.1691089297
457	0.168947238
458	0.1686913978
459	0.1685356899
460	0.1683995784
461	0.16813981
462	0.1679858201
463	0.1678136852
464	0.1675548453
465	0.1674046993
466	0.167254425
467	0.1671242368
468	0.1669984745
469	0.1668566856
470	0.1667309455
471	0.1665917848
472	0.1664590024
473	0.1662979952
474	0.1661599082
475	0.1660545053
476	0.1657948647
477	0.1656629135
478	0.1655312976
479	0.1654262419
480	0.1652970525
481	0.1651622953
482	0.1650372087
483	0.1647938776
484	0.1646897181
485	0.1645877326
486	0.1644763228
487	0.1643735338
488	0.1641340419
489	0.1640147632
490	0.1639081728
491	0.1637962501
492	0.1635645946
493	0.1634449749
494	0.1633598455
495	0.1632218894
496	0.1631016077
497	0.1629901384
498	0.1628833428
499	0.1627885995
500	0.1627015995
501	0.1626091803
502	0.162473786
503	0.1622500668
504	0.1621615615
505	0.162060403
506	0.1618376793
507	0.1617355335
508	0.1616445868
509	0.1615685186
510	0.1614729487
511	0.1612472211
512	0.161153573
513	0.161078116
514	0.1608628164
515	0.1607678143
516	0.1606778028
517	0.1605987598
518	0.1605107199
519	0.1602918283
520	0.1601827702
521	0.1599881265
522	0.1598742917
523	0.159788374
524	0.1596982055
525	0.159576544
526	0.1594905686
527	0.1594206384
528	0.1593164547
529	0.1592393079
530	0.1591369697
531	0.1590357066
532	0.1589698132
533	0.158872705
534	0.1587924201
535	0.1587260412
536	0.1586302632
537	0.1585600869
538	0.1584846762
539	0.1583888727
540	0.1581953941
541	0.1580847273
542	0.1580085034
543	0.1579149587
544	0.1578459745
545	0.1576495522
546	0.1575365448
547	0.1574474691
548	0.1573361048
549	0.1572708237
550	0.1571839308
551	0.157080598
552	0.1570216889
553	0.1569474993
554	0.1567723673
555	0.1566662339
556	0.1565618844
557	0.1564616833
558	0.1563839343
559	0.1563199098
560	0.1562562712
