iter	Passed	Remaining
0	1	1920
1	3	1693
2	4	1569
3	6	1495
4	7	1450
5	8	1429
6	9	1406
7	11	1397
8	12	1387
9	14	1447
10	16	1491
11	17	1477
12	19	1465
13	20	1442
14	21	1426
15	23	1426
16	24	1412
17	25	1406
18	26	1392
19	28	1393
20	30	1421
21	31	1416
22	32	1401
23	34	1391
24	35	1384
25	36	1378
26	37	1367
27	39	1359
28	40	1348
29	41	1344
30	42	1338
31	44	1350
32	46	1351
33	47	1347
34	48	1341
35	49	1337
36	51	1332
37	52	1330
38	53	1323
39	54	1317
40	56	1317
41	57	1315
42	59	1315
43	60	1316
44	62	1324
45	63	1323
46	65	1319
47	66	1316
48	67	1312
49	68	1307
50	70	1303
51	71	1300
52	72	1296
53	74	1299
54	75	1300
55	77	1303
56	78	1298
57	79	1297
58	81	1294
59	82	1292
60	83	1291
61	85	1287
62	86	1283
63	87	1280
64	89	1288
65	91	1293
66	93	1296
67	95	1310
68	97	1318
69	99	1316
70	100	1314
71	101	1312
72	103	1309
73	104	1311
74	106	1308
75	107	1304
76	108	1300
77	109	1296
78	110	1293
79	112	1289
80	113	1286
81	114	1283
82	115	1280
83	117	1278
84	118	1277
85	120	1278
86	121	1275
87	122	1271
88	124	1270
89	125	1269
90	126	1267
91	128	1264
92	129	1264
93	130	1261
94	132	1259
95	133	1258
96	135	1260
97	136	1257
98	138	1256
99	139	1254
100	140	1251
101	141	1248
102	143	1245
103	144	1243
104	145	1241
105	147	1241
106	148	1243
107	150	1241
108	152	1242
109	153	1243
110	155	1247
111	157	1246
112	158	1244
113	159	1241
114	160	1238
115	162	1235
116	163	1232
117	165	1234
118	166	1231
119	167	1230
120	169	1228
121	170	1229
122	172	1232
123	174	1229
124	175	1227
125	176	1225
126	177	1222
127	179	1221
128	180	1221
129	182	1224
130	184	1221
131	185	1219
132	186	1216
133	187	1213
134	189	1211
135	190	1208
136	191	1206
137	192	1203
138	193	1200
139	195	1203
140	197	1201
141	198	1199
142	199	1197
143	200	1194
144	202	1192
145	203	1189
146	204	1187
147	205	1184
148	206	1182
149	208	1179
150	209	1178
151	211	1178
152	212	1176
