Frequencia CMB,Angulo CV-1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,desconhecida
40.0,0.0,0.47045898,0.7631836,-0.4885254,-0.95947266,6.7695312,4.1289062,3.0878906,2.9570312,-8.6640625,0.85498047,4776.0
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
40.0,0.0,0.55214846,0.72978514,-0.44633788,-0.9803711,6.7625,4.1703124,3.0894532,2.953125,-8.657812,0.84296876,4104.4
40.0,0.0,0.5695452,0.7488839,-0.42651367,-0.98074776,6.7823663,4.125,3.0878906,2.9631696,-8.655134,0.8445173,4083.4285
40.0,0.0,0.5885882,0.7435128,-0.46665737,-0.97314453,6.7645087,4.2087054,3.0920758,2.9648438,-8.649553,0.83803016,3718.5715
40.0,0.0,0.5591634,0.73966473,-0.45983887,-0.9696452,6.7981772,4.1647134,3.0904949,2.9654949,-8.644531,0.8361003,4158.3335
40.0,0.0,0.5709403,0.7488839,-0.41800362,-0.97865516,6.7912946,4.1595984,3.095145,2.969587,-8.646205,0.82826453,4079.7144
40.0,0.0,0.55691963,0.73863,-0.4234096,-0.97265625,6.7957587,4.160714,3.092913,2.9626117,-8.643973,0.8460519,4114.0
40.0,0.0,0.55476886,0.756429,-0.4473877,-0.9880371,6.7734375,4.155599,3.086263,2.9694011,-8.6640625,0.83772784,4150.0
40.0,0.0,0.57819474,0.73451453,-0.4312221,-0.9660993,6.766183,4.18471,3.0931919,2.9651227,-8.6484375,0.81933594,4185.4287
40.0,0.0,0.57477677,0.74253625,-0.43770927,-0.9773298,6.7706475,4.107143,3.092913,2.9642856,-8.654017,0.824149,4020.0
40.0,0.0,0.56933594,0.74812824,-0.46280923,-0.9658203,6.7890625,4.214193,3.0957031,2.9593098,-8.6484375,0.81591797,3830.6667
40.0,0.0,0.5673828,0.7472796,-0.4275251,-0.9754464,6.756696,4.1199775,3.0909598,2.9612164,-8.65625,0.86648995,4079.7144
40.0,0.0,0.5694755,0.7523019,-0.42853656,-0.972447,6.7896204,4.2287946,3.0867746,2.9642856,-8.65625,0.84842354,4078.5715
40.0,0.0,0.58536786,0.74332684,-0.42513022,-0.95857745,6.781901,4.1959634,3.0957031,2.9746094,-8.6536455,0.84749347,4029.6667
40.0,0.0,0.56459266,0.72984093,-0.43157086,-0.9578683,6.7555804,4.1621094,3.092913,2.9612164,-8.658483,0.8388672,3808.2856
40.0,0.0,0.5663365,0.7382115,-0.43310547,-0.97126114,6.754464,4.15346,3.0906808,2.9707031,-8.658483,0.8486328,3906.0
40.0,0.0,0.5814616,0.7512207,-0.4486898,-0.9724121,6.797526,4.1106772,3.0944011,2.9690754,-8.6536455,0.8465169,4035.0
40.0,0.0,0.58342636,0.77085656,-0.4427316,-0.9746791,6.766183,4.174665,3.091518,2.9626117,-8.658483,0.8447963,4017.4285
40.0,0.0,0.56577843,0.7433036,-0.3912528,-0.98291016,6.7667413,4.2103796,3.091518,2.9681919,-8.647322,0.8414481,3773.1428
