Time,Frequencia CMB,Untitled 1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,Untitled 12
20/03/2024 12:57:41,38,0,"-0,481873","-0,335946","-0,516672","-0,932475","10,240255","6,904522","3,214157","3,073916","-8,659042","0,932501","3390,10157"
21/03/2024 12:57:42,38,0,"-0,488969","-0,346659","-0,417308","-0,934415","9,762035","6,895526","3,243424","3,072177","-8,647388","0,90412","5364,609588"
22/03/2024 12:57:42,38,0,"-0,474314","-0,315545","-0,518001","-0,943337","9,746724","6,838366","3,218566","3,06405","-8,647323","0,916898","3290,88646"
23/03/2024 12:57:42,38,0,"-0,475702","-0,363752","-0,433803","-0,928349","9,968227","6,661974","3,216464","3,069906","-8,660743","0,934973","5389,675334"
24/03/2024 12:57:42,38,0,"-0,465058","-0,29735","-0,451237","-0,931982","9,476161","6,360743","3,201678","3,071609","-8,646071","0,865786","3506,405365"
25/03/2024 12:57:42,38,0,"-0,479327","-0,330748","-0,5678","-0,94249","9,786199","6,435722","3,199474","3,068167","-8,642668","0,914233","5846,340991"
26/03/2024 12:57:42,38,0,"-0,487735","-0,328779","-0,543878","-0,934203","9,222872","5,869037","3,203848","3,069409","-8,660101","0,920654","3524,026372"
27/03/2024 12:57:42,38,0,"-0,476242","-0,308693","-0,491811","-0,926833","8,978703","6,214522","3,202153","3,069728","-8,649346","0,912307","6121,019304"
28/03/2024 12:57:42,38,0,"-0,494368","-0,330039","-0,52574","-0,974511","8,850328","6,122139","3,21487","3,059685","-8,680263","0,929997","3283,10783"
29/03/2024 12:57:42,38,0,"-0,472231","-0,327124","-0,506978","-0,924964","8,626495","5,79212","3,221042","3,068522","-8,648511","0,852559","5046,800781"
30/03/2024 12:57:42,38,0,"-0,496297","-0,318854","-0,479381","-0,928208","8,80636","5,828278","3,204425","3,071893","-8,66572","0,895355","5184,723587"
31/03/2024 12:57:42,38,0,"-0,443075","-0,339176","-0,499942","-0,945594","8,595175","5,490717","3,214022","3,07821","-8,655607","0,881646","4392,675141"
01/04/2024 12:57:42,38,0,"-0,519822","-0,306408","-0,500411","-0,962768","8,377999","5,436948","3,198931","3,065221","-8,652139","0,892498","4964,952748"
02/04/2024 12:57:42,38,0,"-0,485652","-0,353984","-0,387522","-0,939035","8,36838","5,616973","3,212394","3,068663","-8,639907","0,869125","3758,420871"
03/04/2024 12:57:42,38,0,"-0,483801","-0,321138","-0,419809","-0,964143","8,036974","5,236162","3,190555","3,070083","-8,640453","0,905661","4964,487353"
04/04/2024 12:57:42,38,0,"-0,528693","-0,351858","-0,452644","-0,958888","7,940019","4,90303","3,193675","3,064263","-8,659138","0,949453","4055,915836"
05/04/2024 12:57:42,38,0,"-0,484881","-0,333977","-0,421295","-0,941856","7,7292","4,949152","3,20707","3,076826","-8,645493","0,851596","5032,6326"
06/04/2024 12:57:42,38,0,"-0,452485","-0,347289","-0,475472","-0,965589","7,476677","4,807533","3,205815","3,064511","-8,665816","0,881165","4840,919652"
07/04/2024 12:57:42,38,0,"-0,473774","-0,321374","-0,486886","-0,969891","7,384814","4,813207","3,165392","3,081723","-8,637917","0,936257","4800,717742"
08/04/2024 12:57:42,38,0,"-0,535866","-0,314836","-0,448657","-0,954445","7,192401","4,516474","3,197608","3,081369","-8,647259","0,910637","4737,26537"
09/04/2024 12:57:42,38,0,"-0,509178","-0,288607","-0,36743","-0,977014","7,010938","4,413504","3,188588","3,067599","-8,657501","0,89619","4883,401658"
10/04/2024 12:57:42,38,0,"-0,493906","-0,349416","-0,440292","-0,915231","6,743637","4,276729","3,192047","3,065824","-8,654322","0,911729","4694,51382"
11/04/2024 12:57:42,38,0,"-0,430271","-0,313734","-0,590628","-0,907367","6,634932","4,091686","3,193098","3,059223","-8,661835","0,867295","3675,015839"
12/04/2024 12:57:42,38,0,"-0,455725","-0,341775","-0,406988","-0,883458","6,441421","3,856922","3,220499","3,074874","-8,646842","0,892016","4706,625589"
13/04/2024 12:57:42,38,0,"-0,481564","-0,317908","-0,458195","-0,922425","6,34796","3,873842","3,191809","3,064582","-8,658111","0,924475","4689,567711"
14/04/2024 12:57:42,38,0,"-0,429654","-0,34721","-0,447406","-0,910506","6,445315","3,937922","3,199202","3,049322","-8,658015","0,937831","4657,490963"
15/04/2024 12:57:42,38,0,"-0,481719","-0,289788","-0,451159","-0,922813","6,336777","3,831941","3,206493","3,074768","-8,653423","0,90412","4562,571434"
16/04/2024 12:57:42,38,0,"-0,516043","-0,338073","-0,447797","-0,921931","6,319869","3,980653","3,180076","3,065647","-8,662509","0,884439","4675,417866"
17/04/2024 12:57:42,38,0,"-0,485344","-0,328936","-0,480397","-0,916642","6,373555","3,894498","3,207172","3,071183","-8,643021","0,930029","4687,480874"
18/04/2024 12:57:42,38,0,"-0,538412","-0,321689","-0,435132","-0,931488","6,368962","3,828723","3,203509","3,065505","-8,665367","0,925053","3965,445313"
19/04/2024 12:57:42,38,0,"-0,469454","-0,300973","-0,501583","-0,978989","6,434331","3,821872","3,198049","3,078139","-8,628092","0,872849","3951,906486"
20/04/2024 12:57:42,38,0,"-0,468529","-0,332244","-0,417308","-0,906133","6,329321","3,845297","3,202627","3,067173","-8,658496","0,890796","4274,718524"
21/04/2024 12:57:42,38,0,"-0,52044","-0,353906","-0,372355","-0,887725","6,353585","3,991449","3,184586","3,056278","-8,68784","0,914715","4061,238999"
22/04/2024 12:57:42,38,0,"-0,461201","-0,307984","-0,502287","-0,900173","6,39945","3,931382","3,200762","3,065966","-8,649828","0,914394","4701,997253"
23/04/2024 12:57:42,38,0,"-0,475317","-0,281439","-0,4571","-0,929337","6,367032","3,86104","3,197269","3,044389","-8,65795","0,915871","4430,599708"
24/04/2024 12:57:42,38,0,"-0,486115","-0,290891","-0,419575","-0,932193","6,357679","3,898893","3,213615","3,071148","-8,631785","0,937638","4047,088875"
25/04/2024 12:57:42,38,0,"-0,47871","-0,346108","-0,506196","-0,890793","6,425212","3,938026","3,21253","3,069267","-8,669861","0,902483","4320,52347"
26/04/2024 12:57:42,38,0,"-0,4693","-0,320902","-0,527069","-0,961815","6,354251","3,814226","3,211275","3,064653","-8,666233","0,886783","4072,766406"
27/04/2024 12:57:42,38,0,"-0,534709","-0,326179","-0,410897","-0,928385","6,391096","3,869102","3,213852","3,060217","-8,636504","0,938505","4343,660666"
28/04/2024 12:57:42,38,0,"-0,496991","-0,332166","-0,443654","-0,913785","6,296604","3,831076","3,205239","3,076258","-8,662413","0,932437","5094,069266"
