Time,Frequencia CMB,Untitled 1,CV-1,CV-2,CV-3,PT-1,PT-2,PT-3,PT-4,PT-5,FT-1,FT-2,
20/03/2024 14:14:56,50,0,"-0,477631","-0,330039","-0,550757","-0,962591","8,573474","5,727868","3,227553","3,104578","-8,665367","0,874487","4437,143893"
20/03/2024 14:15:16,50,0,"-0,485884","-0,301446","-0,442168","-0,954057","8,502879","5,665206","3,237726","3,098971","-8,65673","0,968748","3357,61626"
20/03/2024 14:15:16,50,0,"-0,444463","-0,338782","-0,520893","-0,949191","8,550475","5,587944","3,215548","3,069693","-8,648383","0,959919","3941,276099"
20/03/2024 14:15:17,50,0,"-0,437367","-0,352645","-0,545989","-0,938717","8,63172","5,647629","3,247934","3,096806","-8,647548","0,941523","4360,278587"
20/03/2024 14:15:17,50,0,"-0,439758","-0,303258","-0,494626","-0,945276","8,676254","5,676901","3,218023","3,067883","-8,654611","0,954814","3313,781328"
20/03/2024 14:15:17,50,0,"-0,405974","-0,29861","-0,486339","-0,947992","8,759763","5,617008","3,229927","3,091377","-8,65962","0,956291","3933,4364"
20/03/2024 14:15:17,50,0,"-0,483493","-0,339176","-0,397607","-0,950354","8,528275","5,620537","3,238371","3,07963","-8,659523","0,935423","4241,504312"
20/03/2024 14:15:17,50,0,"-0,429885","-0,338309","-0,431067","-0,945876","8,659645","5,587771","3,23776","3,080055","-8,656217","0,925021","4418,991745"
20/03/2024 14:15:17,50,0,"-0,455802","-0,317987","-0,542471","-0,957972","8,56755","5,582581","3,222432","3,071148","-8,678401","0,974976","4860,464102"
20/03/2024 14:15:17,50,0,"-0,465598","-0,314364","-0,399561","-0,957619","8,59634","5,441377","3,235183","3,093435","-8,675961","0,978861","4945,567902"
20/03/2024 14:15:18,50,0,"-0,434667","-0,322792","-0,591175","-0,941785","8,672426","5,564588","3,204662","3,085308","-8,658689","0,973596","3794,069296"
20/03/2024 14:15:18,50,0,"-0,410756","-0,34406","-0,464684","-0,930747","8,664072","5,787657","3,23576","3,084988","-8,658721","0,902804","4881,801948"
20/03/2024 14:15:18,50,0,"-0,471151","-0,308062","-0,488997","-0,960087","8,6452","5,466323","3,22857","3,089957","-8,619841","0,970995","3717,791422"
20/03/2024 14:15:18,50,0,"-0,495525","-0,338546","-0,392994","-0,944818","8,562557","5,786965","3,244814","3,092512","-8,66405","0,909738","5007,585352"
20/03/2024 14:15:18,50,0,"-0,463747","-0,306408","-0,456709","-0,942808","8,696457","5,713612","3,232029","3,07821","-8,654932","0,941041","4376,959078"
20/03/2024 14:15:18,50,0,"-0,474545","-0,325707","-0,522457","-0,936742","8,614313","5,70863","3,22311","3,078813","-8,678787","0,899754","3373,620785"
20/03/2024 14:15:18,50,0,"-0,463438","-0,312789","-0,490091","-0,943584","8,393908","5,59393","3,238405","3,077216","-8,66466","0,934556","4977,529227"
20/03/2024 14:15:19,50,0,"-0,44832","-0,311371","-0,57124","-0,938435","8,687204","5,680257","3,221754","3,065682","-8,659427","0,945022","3915,87695"
20/03/2024 14:15:19,50,0,"-0,459196","-0,347919","-0,514014","-0,943936","8,501182","5,690984","3,234708","3,086373","-8,643407","0,949806","3428,43161"
20/03/2024 14:15:19,50,0,"-0,439912","-0,338467","-0,434585","-0,938823","8,668566","5,789006","3,224195","3,101562","-8,641159","0,942261","3769,000696"
20/03/2024 14:15:19,50,0,"-0,47092","-0,309559","-0,430363","-0,940375","8,698587","5,746171","3,230266","3,095032","-8,669797","0,96756","4766,988263"
20/03/2024 14:15:19,50,0,"-0,463747","-0,321295","-0,496815","-0,951941","8,423864","5,33678","3,239151","3,104614","-8,642155","0,926818","4873,57515"
20/03/2024 14:15:19,50,0,"-0,460893","-0,344138","-0,540594","-0,951977","8,831789","5,702575","3,227078","3,101349","-8,659074","0,965216","3799,138543"
20/03/2024 14:15:20,50,0,"-0,429114","-0,359735","-0,480397","-0,942208","8,673824","5,695274","3,218736","3,085947","-8,672205","0,911183","4825,183765"
20/03/2024 14:15:20,50,0,"-0,462512","-0,344611","-0,487511","-0,940833","8,495124","5,683025","3,252648","3,083001","-8,672815","0,947655","5038,649066"
20/03/2024 14:15:20,50,0,"-0,486501","-0,346186","-0,497518","-0,933357","8,480845","5,764544","3,25197","3,089992","-8,650823","0,896639","5030,040107"
20/03/2024 14:15:20,50,0,"-0,504319","-0,326179","-0,380173","-0,941397","8,56299","5,600538","3,222602","3,069906","-8,648736","0,968363","3851,287853"
20/03/2024 14:15:20,50,0,"-0,475317","-0,309008","-0,339599","-0,945523","8,668532","5,639048","3,225179","3,059827","-8,642893","1,027982","3953,944824"
20/03/2024 14:15:20,50,0,"-0,411759","-0,317672","-0,443419","-0,9457","8,640574","5,731604","3,227451","3,092086","-8,656827","0,978251","4557,872687"
20/03/2024 14:15:20,50,0,"-0,471923","-0,345241","-0,47641","-0,96841","8,599435","5,530715","3,232334","3,074129","-8,681869","0,948201","3778,813454"
20/03/2024 14:15:21,50,0,"-0,43945","-0,330196","-0,495095","-0,936531","8,634183","5,724754","3,224297","3,087295","-8,669958","0,941779","3757,628632"
20/03/2024 14:15:21,50,0,"-0,444772","-0,33445","-0,464449","-0,95649","8,698587","5,740254","3,212903","3,08403","-8,638366","0,927942","4425,829"
20/03/2024 14:15:21,50,0,"-0,431813","-0,380057","-0,424187","-0,947004","8,582228","5,394043","3,18289","3,081049","-8,65978","0,900492","4189,563287"
20/03/2024 14:15:21,50,0,"-0,441995","-0,314836","-0,524099","-0,96446","8,596373","5,704028","3,229994","3,081794","-8,63294","0,918246","3847,050121"
20/03/2024 14:15:21,50,0,"-0,406899","-0,28774","-0,485088","-0,945347","8,520486","5,584968","3,205103","3,081191","-8,64758","0,946467","3541,900846"
20/03/2024 14:15:21,50,0,"-0,468992","-0,302234","-0,467263","-0,95173","8,6454","5,548776","3,22857","3,092193","-8,643375","0,945921","4422,305629"
20/03/2024 14:15:21,50,0,"-0,409059","-0,304045","-0,424265","-0,941256","8,576902","5,739113","3,23776","3,082575","-8,645622","0,984158","3810,279184"
20/03/2024 14:15:22,50,0,"-0,47362","-0,329251","-0,435132","-0,935649","8,516992","5,559917","3,228197","3,088679","-8,65612","0,941523","3778,724866"
